Date,Fact
2012,National Physics Olympics
2013-2015,Approved in many public universities
2016,Joining Brazil's Military Academy for a short period
2017-2022,Biosystems Engineering student at the University of Sao Paulo - Brazil
2021-2022,Internship in 3 companies
2022-2023,Research scholar at Kansas State University in Ciampitti Lab
2023-2024,Agronomy master student at Kansas State University
2025-Present,Agronomy PhD student at Purdue University.
